id,fileName,avgCghSetSize,avgChurn,avgLoc,cghSetSize,churn,locAdded,maxCghSetSize,maxChurn,maxLoc,bug
1,src/java/org/apache/avro/specific/SpecificRecordBase.java,1.0,64.0,64.0,1,64.0,64,1.0,64,64,no
1,src/java/org/apache/avro/AvroRuntimeException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/AvroRuntimeException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/AvroTypeException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/AvroTypeException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/TestProtocolReflect.java,3.0,-3.6666667,4.6666665,6,-11.0,14,6.0,-11,14,no
1,src/test/java/org/apache/avro/TestProtocolReflect.java,3.0,-3.6666667,4.6666665,6,-11.0,14,6.0,-11,14,no
1,src/java/org/apache/avro/io/Encoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/Transceiver.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/ipc/Transceiver.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/generic/GenericRequestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/generic/GenericRequestor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/generic/GenericResponder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/generic/GenericResponder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/specific/SpecificFixed.java,1.0,28.0,28.0,1,28.0,28,1.0,28,28,no
1,src/java/org/apache/avro/specific/SpecificExceptionBase.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/file/SeekableFileInput.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/file/SeekableFileInput.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/io/TestValidatingIO.java,1.0,323.5,323.5,2,647.0,647,2.0,647,647,no
1,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/TestProtocolSpecific.java,6.0,16.7,21.2,12,167.0,212,12.0,167,212,no
1,src/test/java/org/apache/avro/TestProtocolSpecific.java,6.0,16.7,21.2,12,167.0,212,12.0,167,212,no
1,src/test/java/org/apache/avro/io/TestBinaryDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/io/TestBlockingIO.java,1.5,155.66667,158.0,3,467.0,474,3.0,467,474,no
1,src/test/java/org/apache/avro/io/TestResolvingIO.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/SchemaParseException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/SchemaParseException.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/TestFsData.java,3.0,-0.5,2.5,6,-1.0,5,6.0,0,5,no
1,src/test/java/org/apache/avro/TestFsData.java,3.0,-0.5,2.5,6,-1.0,5,6.0,0,5,no
1,src/java/org/apache/avro/specific/ProtocolTask.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/specific/ProtocolTask.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/specific/SchemaTask.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/specific/SchemaTask.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/generic/GenericArray.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/generic/GenericArray.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/specific/SpecificRecord.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/specific/SpecificRecord.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/util/Utf8.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/util/Utf8.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/BinaryDecoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/io/Decoder.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/file/SeekableInput.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/file/SeekableInput.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/java/org/apache/avro/reflect/FixedSize.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/test/TestInvocationReporter.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/test/TestOutputInterceptor.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
1,src/test/java/org/apache/avro/test/TestSuiteInterceptor.java,1.0,39.0,39.0,1,39.0,39,1.0,39,39,no
1,src/java/org/apache/avro/generic/GenericFixed.java,0.0,0.0,0.0,0,0.0,0,0.0,0,0,no
