Dataset;TrainRelease;%Train;TrainDefective;TestDefective;getClassifier;Balancing;FeatureSelection;Tp;Fp;Tn;Fn;Precision;Recall;Roc;Kappa
Bookkeeper;2;0.4998558662438743;96.0;45.0;RandomForest;Undersampling;No selection;43.0;472.0;206.0;2.0;0.08349514563106795;0.9555555555555556;0.8806129137987545;0.04414693331101999
Bookkeeper;2;0.4998558662438743;96.0;45.0;NaiveBayes;Undersampling;No selection;43.0;465.0;213.0;2.0;0.08464566929133858;0.9555555555555556;0.8946902654867257;0.046478527191548116
Bookkeeper;2;0.4998558662438743;96.0;45.0;Ibk;Undersampling;No selection;40.0;497.0;181.0;5.0;0.074487895716946;0.8888888888888888;0.8437233693870863;0.02553321734647858
Bookkeeper;2;0.4998558662438743;96.0;45.0;RandomForest;SMOTE;No selection;14.0;25.0;653.0;31.0;0.358974358974359;0.3111111111111111;0.926007866273353;0.2924399706406633
Bookkeeper;2;0.4998558662438743;96.0;45.0;NaiveBayes;SMOTE;No selection;2.0;4.0;674.0;43.0;0.3333333333333333;0.044444444444444446;0.8625204850868567;0.06473453884898045
Bookkeeper;2;0.4998558662438743;96.0;45.0;Ibk;SMOTE;No selection;13.0;24.0;654.0;32.0;0.35135135135135137;0.28888888888888886;0.9265978367748279;0.27643148187861927
Bookkeeper;2;0.4998558662438743;96.0;45.0;RandomForest;No sampling;Best first;4.0;4.0;674.0;41.0;0.5;0.08888888888888889;0.9337758112094395;0.1346844330966254
Bookkeeper;2;0.4998558662438743;96.0;45.0;NaiveBayes;No sampling;Best first;0.0;0.0;678.0;45.0;NaN;0.0;0.8265650606358571;0.0
Bookkeeper;2;0.4998558662438743;96.0;45.0;Ibk;No sampling;Best first;0.0;0.0;678.0;45.0;NaN;0.0;0.9338413634873812;0.0
Bookkeeper;2;0.4998558662438743;96.0;45.0;RandomForest;Oversampling;Best first;44.0;129.0;549.0;1.0;0.2543352601156069;0.9777777777777777;0.928498852835136;0.33830362422911203
Bookkeeper;2;0.4998558662438743;96.0;45.0;NaiveBayes;Oversampling;Best first;44.0;129.0;549.0;1.0;0.2543352601156069;0.9777777777777777;0.9290560471976401;0.33830362422911203
Bookkeeper;2;0.4998558662438743;96.0;45.0;Ibk;Oversampling;Best first;44.0;129.0;549.0;1.0;0.2543352601156069;0.9777777777777777;0.9286627335299902;0.33830362422911203
Bookkeeper;2;0.4998558662438743;96.0;45.0;RandomForest;Undersampling;Best first;42.0;112.0;566.0;3.0;0.2727272727272727;0.9333333333333333;0.8888069485414618;0.3605067029696118
Bookkeeper;2;0.4998558662438743;96.0;45.0;NaiveBayes;Undersampling;Best first;40.0;103.0;575.0;5.0;0.27972027972027974;0.8888888888888888;0.8945099967223861;0.3654493149349065
